Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-CA-6718	0	0.0314219439152714	0.104933425216404	0.127678244204121	0	0.0300709393058919	0.0941267765504196	0.0574288511723525	0.00268644889802446	0.0491277758947431	0.112643106717758	0	0	0.0721683932496485	0.177145174339174	0.0613611589967012	0.0336913783581618	0	0.0455163831813278	0	0	0	0.022	0.264154070911026	0.984010079326835
TCGA-AA-A00J	0	0	0.0527375576760043	0.0344057887721744	0	0.260803899022175	0.0038513316133038	0.0289894104532921	0.0320472499878911	0	0.111951720975906	0	0	0.189243928176291	0.0772124411038777	0.135442754686469	0	0	0	0.0733139175326161	0	0	0.158	0.0898410983923387	1.05611973452276
TCGA-CM-4752	0.0253067277745164	0	0.164811944243917	0.0953037551661836	0	0.0821810743478866	0.215535216230464	0.0268103184940691	0.039647743970579	0	0.0111177471408228	0	0.0188037337635249	0.0216597601421253	0.116125254680665	0.0773574354262448	0.0503321454991073	0	0.0550071431198941	0	0	0	0.015	0.31446025876239	0.952307758172623
TCGA-AA-3549	0.00107370818536318	0.00516831598240441	0.127900693780822	0.0734315776976937	0	0	0.0212769051428804	0.0228293896392666	0.0870689791579443	0	0.176143089735652	0	0	0.188225160918042	0	0	0.00246860191747319	0.0166608063296064	0	0.261673941513736	0.0156737081120211	0.000405121887094474	0.055	0.178846231341983	1.03619905748172
TCGA-AA-3966	0	0	0.0367080171900839	0.0732259972523705	0	0.0164761464896699	0.0298145819503428	0.0539333272177334	0.0554312523991673	0	0.105398426735366	0	0	0.295879639723794	0.0131325420717481	0.0692072081933115	0.00972549274610679	0.0246517327226457	0	0.177304414665622	0.0229313344653722	0.0161798861766659	0.171	0.0815758342234787	1.07346546569604
TCGA-G4-6626	0	0.0418102228547045	0.189070278307711	0.191547805017919	0	0.0329583774452532	0.21742666741508	0.0990352876006283	0	0	0.0283319133364559	0.0118824428830323	0.00910877785152024	0.0604632106679962	0.0607474422895398	0.0201204741641491	0	0	0.00823847872885773	0.0292586214371528	0	0	0.015	0.312784077617795	0.959063725102771
TCGA-AA-3973	0	0.0291328363686876	0.127993327363425	0.0675356197637365	0	0.101042617866901	0.0603867023121971	0.00974774673345336	0.016950690789056	0	0.116961211791713	0	0	0.286981339748536	0.0467786195960101	0.100579735761263	0	0	0	0.0359095519050226	0	0	0.031	0.231431150738638	0.995202245625843
TCGA-AA-3679	0.0238277831401307	0	0.350101642286751	0.0970016826092884	0	0.0534501740148001	0.0454373631766002	0.00498964996692385	0	0	0.0887901393583326	0.0367154806029828	0.0207709882930277	0.089786629558101	0.0540533661477093	0.0403603482951919	0.0429849755275992	0	0.0384500171160603	0	0	0.0132797599065011	0.001	0.515022469630795	0.856642605110013
TCGA-A6-4107	0	0.0102282521577145	0.381285448989825	0.031384173261679	0	0.0506848750449887	0	0.0597222651527011	0.054227849736303	0	0.0334970581049857	0	0	0.0793618428266668	0.028967121189726	0.0704444059326919	0.0538115479093817	0	0.0659115447286197	0.0804736149647168	0	0	0.001	0.535556878216018	0.844926131881158
TCGA-AA-3856	0.0610167099169203	0	0.253409394553104	0.10281397242203	0	0.0824393595791793	0	0.0110858287462427	0.0971566068933509	0	0	0	0	0.150919961363156	0.0830483685272824	0.0784794633057853	0.0682602170485472	0	0.00802692609759661	0.00334319154680569	0	0	0.003	0.452328003039129	0.890876438319613
